"id","admin_report_id","parameter_name","label","data_type","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by","query_parameter","input_field_type","option_type","option","order_no"
"18","9","startDate","Start Date","date","2025-08-02 09:30:56.479924","","","1","","","###START_DATE###","","","",""
"19","9","endDate","End Date","date","2025-08-02 09:30:56.479924","","","1","","","###END_DATE###","","","",""
"20","10","startDate","Start Date","date","2025-08-02 10:09:56.630358","","","1","","","###START_DATE###","","","",""
"21","10","endDate","End Date","date","2025-08-02 10:09:56.630358","","","1","","","###END_DATE###","","","",""
"22","11","managerName","Manager Name","string","2025-08-04 08:41:30.820353","","","1","","","###ManagerName###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct manager_name as label from vr_active_user_info) a) as t order by sort_order, label""}",""
"23","11","organisation","Organisation","string","2025-08-04 08:41:30.820353","","","1","","","###Organisation###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct organisation as label from vr_active_user_info) a) as t order by sort_order, label""}",""
"24","11","vertical","Vertical","string","2025-08-04 08:41:30.820353","","","1","","","###Vertical###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct vertical as label from vr_active_user_info) a) as t order by sort_order, label""}",""
"25","11","department","Department","string","2025-08-04 08:41:30.820353","","","1","","","###Department###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct department as label from vr_active_user_info) a) as t order by sort_order, label""}",""
"26","11","branch","Branch","string","2025-08-04 08:41:30.820353","","","1","","","###Branch###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct branch as label from vr_active_user_info) a) as t order by sort_order, label""}",""
"27","11","designation","Designation","string","2025-08-04 08:41:30.820353","","","1","","","###Designation###","SelectBox","query","{""raw_query"":""select label, value, sort_order from (select 'All' as label, '#99#' as value, 0 as sort_order union select label, label as value, ROW_NUMBER () OVER (ORDER BY label) as sort_order from (select distinct designation as label from vr_active_user_info) a) as t order by sort_order, label""}",""
