S No,Library_Name,Version,Ecosystem,Recommended Version,License,Dependency_Type,Vulnerabilities,Project,Path
68,vscode-textmate,8.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
69,detect-indent,6.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
70,glob-to-regexp,0.4.1,npm,,BSD-2-Clause,Transitive,0,package-lock.json,package-lock.json
71,property-expr,2.0.6,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
72,ci-info,4.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
73,open,10.2.0,npm,,,Transitive,0,package-lock.json,package-lock.json
74,@verdaccio/ui-theme,8.0.0-next-8.30,npm,,,Transitive,0,package-lock.json,package-lock.json
75,babel-plugin-polyfill-corejs3,0.13.0,npm,,,Transitive,0,package-lock.json,package-lock.json
76,traverse,0.3.9,npm,,,Transitive,0,package-lock.json,package-lock.json
77,@smithy/util-config-provider,4.2.2,npm,,,Transitive,0,package-lock.json,package-lock.json
78,webpack-merge,5.10.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
79,figures,6.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
80,html2canvas,1.4.1,npm,,MIT,Direct,0,package-lock.json,package-lock.json
81,mailcomposer,3.12.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
82,@babel/helper-validator-option,7.27.1,npm,,,Transitive,0,package-lock.json,package-lock.json
83,@insurance-wellness-hub/ibp,,npm,,,Transitive,0,package-lock.json,package-lock.json
84,@paralleldrive/cuid2,2.2.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
85,jest-changed-files,29.7.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
86,commander,7.2.0,npm,,,Transitive,0,package-lock.json,package-lock.json
87,@react-dnd/shallowequal,4.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
88,koa-helmet,7.0.2,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
89,@module-federation/inject-external-runtime-core-plugin,0.9.1,npm,,,Transitive,0,package-lock.json,package-lock.json
90,@radix-ui/react-popover,1.0.7,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
91,@babel/plugin-transform-flow-strip-types,7.27.1,npm,,,Transitive,0,package-lock.json,package-lock.json
92,@smithy/util-endpoints,3.3.3,npm,,,Transitive,0,package-lock.json,package-lock.json
93,@commitlint/config-conventional,19.8.1,npm,,,Direct,0,package-lock.json,package-lock.json
94,@smithy/util-waiter,4.2.13,npm,,,Transitive,0,package-lock.json,package-lock.json
95,pkg-dir,7.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
96,resolve-cwd,3.0.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
97,ai,5.0.52,npm,,,Transitive,0,package-lock.json,package-lock.json
98,is-stream,1.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
99,color,4.2.3,npm,,,Transitive,0,package-lock.json,package-lock.json
100,escape-string-regexp,5.0.0,npm,,,Transitive,0,package-lock.json,package-lock.json
101,copy-anything,2.0.6,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
102,generic-pool,3.9.0,npm,,,Direct,0,package-lock.json,package-lock.json
103,react-hook-form,7.71.2,npm,,,Direct,0,package-lock.json,package-lock.json
104,@img/sharp-win32-x64,0.33.5,npm,,Apache-2.0,Transitive,0,package-lock.json,package-lock.json
105,@babel/plugin-transform-unicode-property-regex,7.28.6,npm,,,Transitive,0,package-lock.json,package-lock.json
106,nx,20.6.1,npm,,,Direct,0,package-lock.json,package-lock.json
107,stackback,0.0.2,npm,,,Transitive,0,package-lock.json,package-lock.json
108,@strapi/content-manager,5.39.0,npm,,,Transitive,0,package-lock.json,package-lock.json
109,web-streams-polyfill,3.3.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
110,@radix-ui/react-primitive,2.1.3,npm,,,Transitive,0,package-lock.json,package-lock.json
111,@esbuild/linux-arm,0.25.12,npm,,,Transitive,0,package-lock.json,package-lock.json
112,param-case,3.0.4,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
113,stackblur-canvas,2.7.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
114,xdg-portable,10.6.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
